,original,google_translate,,
10,"While the publisher and the authors have used good faith efforts to ensure that the information and instructions contained in this work are accurate, the publisher and the authors disclaim all responsibility for errors or omissions, including without limitation responsibility for damages resulting from the use of or reliance on this work.","발행인과 저자는이 저작물에 포함 된 정보와 지침이 정확한지 확인하기 위해 성실하게 노력했지만, 발행인과 저자는 오류 또는 누락에 대한 모든 책임을지지 않습니다.이 작업에 대한 의존.",,
11,Use of the information and instructions contained in this work is at your own risk.,이 작업에 포함 된 정보 및 지침의 사용은 귀하의 책임입니다.,,
12,"If any code samples or other technology this work contains or describes is subject to open source licenses or the intellectual property rights of others, it is your responsibility to ensure that your use thereof complies with such licenses and/or rights.","이 저작물에 포함되거나 설명하는 코드 샘플 또는 기타 기술이 오픈 소스 라이선스 또는 타인의 지적 재산권의 적용을받는 경우, 해당 사용이 해당 라이선스 및 / 또는 권리를 준수하는지 확인하는 것은 귀하의 책임입니다.",,
13,"978-1-492-05012-4
[LSI]



Foreword
Occasionally over the years people will ask me what skills are most in demand in tech.","978-1-492-05012-4
[LSI]



머리말
때때로 사람들은 기술 분야에서 가장 필요한 기술이 무엇인지 물어볼 것입니다.",,
14,"Ten years ago I would tell them to study machine learning, which can scale automated decision making in ways previously impossible.",10 년 전에 저는 그들에게 이전에는 불가능했던 방식으로 자동화 된 의사 결정을 확장 할 수있는 머신 러닝을 연구하라고 말했었습니다.,,
15,"However, these days I have a different answer: machine learning engineering.",하지만 요즘에는 다른 답이 있습니다. 바로 기계 학습 공학입니다.,,
16,"Even just a few years ago if you knew machine learning and started at an organization, you would likely walk in the door as the only person with that skill set, allowing you to have an outsized impact.",불과 몇 년 전만해도 기계 학습을 알고 조직에서 시작했다면 해당 기술을 보유한 유일한 사람으로 문에 들어 서면 엄청난 영향을 미칠 수 있습니다.,,
17,"However, a side effect of the proliferation of books, tutorials, e-courses, and boot camps (some of which I have written myself) teaching an entire generation of technologists the skills required is that now machine learning is being used across tens of thousands of companies and organizations.","그러나 전 세대의 기술자에게 필요한 기술을 가르치는 책, 튜토리얼, e- 코스 및 부트 캠프 (일부는 직접 작성)의 확산으로 인한 부작용은 이제 기계 학습이 수만 명에 걸쳐 사용되고 있다는 것입니다.회사와 조직의.",,
18,"These days a more likely scenario is that, walking into your new job, you find an organization using machine learning locally but unable to deploy it to production or able to deploy models but unable to manage them effectively.",요즘 더 가능성이 높은 시나리오는 새로운 작업에 들어가서 기계 학습을 로컬에서 사용하지만 프로덕션에 배포 할 수 없거나 모델을 배포 할 수는 있지만 효과적으로 관리 할 수없는 조직을 발견하는 것입니다.,,
19,"In this setting, the most valuable skill is not being able to train a model, but rather to manage all those models and deploy them in ways that maximize their impact.",이 설정에서 가장 가치있는 기술은 모델을 교육 할 수있는 것이 아니라 모든 모델을 관리하고 그 영향력을 극대화하는 방식으로 배포하는 것입니다.,,
20,"In this volume, Trevor Grant, Holden Karau, Boris Lublinsky, Richard Liu, and Ilan Filonenko have put together what I believe is an important cornerstone in the education of data scientists and machine learning engineers.","이 책에서는 Trevor Grant, Holden Karau, Boris Lublinsky, Richard Liu 및 Ilan Filonenko가 데이터 과학자 및 기계 학습 엔지니어 교육의 중요한 초석이라고 생각하는 내용을 정리했습니다.",,
21,"For the foreseeable future the open source Kubeflow project will be a common tool in an organization’s toolkit for training, management, and deployment of machine learning models.","가까운 미래에 오픈 소스 Kubeflow 프로젝트는 머신 러닝 모델의 교육, 관리 및 배포를위한 조직의 도구 키트에서 공통 도구가 될 것입니다.",,
22,"This book represents the codification of a lot of knowledge that previously existed scattered around internal documentation, conference presentations, and blog posts.","이 책은 이전에 내부 문서, 컨퍼런스 프레젠테이션 및 블로그 게시물에 흩어져 있던 많은 지식의 코드화를 나타냅니다.",,
23,"If you believe, as I do, that machine learning is only as powerful as how we use it, then this book is for you.",저처럼 기계 학습이 우리가 사용하는 방식만큼 강력하다고 믿는다면이 책은 당신을위한 것입니다.,,
24,"Chris Albon
Director of Machine Learning,
The Wikimedia Foundation
https://chrisalbon.com


Preface
We wrote this book for data engineers and data scientists who are building machine learning systems/models they want to move to production.","크리스 알본
기계 학습 이사,
위키 미디어 재단
https://chrisalbon.com


머리말
이 책은 프로덕션으로 이동하려는 머신 러닝 시스템 / 모델을 구축하는 데이터 엔지니어와 데이터 과학자를 위해 작성되었습니다.",,
25,"If you’ve ever had the experience of training an excellent model only to ask yourself how to deploy it into production or keep it up to date once it gets there, this is the book for you.",프로덕션에 배포하는 방법을 스스로 물어 보거나 모델이 도착한 후 최신 상태로 유지하는 방법으로 만 우수한 모델을 교육 한 경험이 있다면이 책이 적합합니다.,,
26,We hope this gives you the tools to replace Untitled_5.ipynb with something that works relatively reliably in production.,이것이 Untitled_5.ipynb를 프로덕션에서 비교적 안정적으로 작동하는 것으로 대체 할 수있는 도구를 제공하기를 바랍니다.,,
27,This book is not intended to serve as your first introduction to machine learning.,이 책은 기계 학습에 대한 첫 번째 소개로 제공되지 않습니다.,,
28,The next section points to some resources that may be useful if you are just getting started on your machine learning journey.,다음 섹션에서는 기계 학습 여정을 막 시작하는 경우 유용 할 수있는 몇 가지 리소스에 대해 설명합니다.,,
29,"Our Assumption About You
This book assumes that you either understand how to train models locally, or are working with someone who does.","당신에 대한 우리의 가정
이 책은 로컬에서 모델을 훈련하는 방법을 이해하고 있거나이를 수행하는 사람과 함께 작업하고 있다고 가정합니다.",,
30,"If neither is true, there are many excellent introductory books on machine learning to get you started, including Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow, 2nd Edition, by Aurélien Géron (O’Reilly).","둘 다 사실이 아니라면 Aurélien Géron (O'Reilly)의 Scikit-Learn, Keras 및 TensorFlow 2nd Edition을 사용한 Hands-On Machine Learning을 포함하여 시작하는 데 도움이되는 기계 학습에 대한 훌륭한 입문 책이 많이 있습니다.",,
31,"Our goal is to teach you how to do machine learning in a repeatable way, and how to automate the training and deployment of your models.",우리의 목표는 반복 가능한 방식으로 기계 학습을 수행하는 방법과 모델의 학습 및 배포를 자동화하는 방법을 가르치는 것입니다.,,
32,"A serious problem here is that this goal includes a wide range of topics, and it is more than reasonable that you may not be intimately familiar with all of them.",여기서 심각한 문제는이 목표가 광범위한 주제를 포함하고 있으며 모든 주제에 대해 잘 알지 못하는 것이 합리적이라는 것입니다.,,
33,"Since we can’t delve deeply into every topic, we would like to provide you a short list of our favorite primers on several of the topics you will see covered here:

Python for Data Analysis, 2nd Edition, by Wes McKinney (O’Reilly)
Data Science from Scratch, 2nd Edition, by Joel Grus (O’Reilly)
Introduction to Machine Learning with Python by Andreas C. Müller and Sarah Guido (O’Reilly)
Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow, 2nd Edition, by Aurélien Géron (O’Reilly)
Kubernetes: Up and Running by Brendan Burns et al.","모든 주제를 깊이 파고들 수는 없으므로 여기에서 다룰 몇 가지 주제에 대한 우리가 가장 좋아하는 입문서의 짧은 목록을 제공하고자합니다.

Python for Data Analysis, 2nd Edition, by Wes McKinney (O’Reilly)
Data Science from Scratch, 2nd Edition, by Joel Grus (O’Reilly)
Andreas C. Müller와 Sarah Guido (O’Reilly)의 Python을 사용한 머신 러닝 소개
Aurélien Géron (O’Reilly)의 Scikit-Learn, Keras 및 TensorFlow 2nd Edition을 사용한 실습 머신 러닝
Kubernetes : Brendan Burns et al.",,
34,"(O’Reilly)
Learning Spark by Holden Karau et al.","(오라일리)
Holden Karau 외 학습 Spark",,
35,"(O’Reilly)
Feature Engineering for Machine Learning by Alice Zheng and Amanda Casari (O’Reilly)
Building Machine Learning Pipelines by Hannes Hapke and Catherine Nelson (O’Reilly)
Apache Mahout: Beyond MapReduce by Dmitriy Lyubimov and Andrew Palumbo (CreateSpace)
R Cookbook, 2nd Edition, by J. D. Long and Paul Teetor (O’Reilly)
Serving Machine Learning Models by Boris Lublinsky (O’Reilly)
“Continuous Delivery for Machine Learning” by Danilo Sato et al.","(오라일리)
기계 학습을위한 기능 엔지니어링 (Alice Zheng 및 Amanda Casari (O’Reilly))
Hannes Hapke 및 Catherine Nelson (O’Reilly)의 기계 학습 파이프 라인 구축
Apache Mahout : Beyond MapReduce, Dmitriy Lyubimov 및 Andrew Palumbo (CreateSpace)
R Cookbook, 2nd Edition, J. D. Long 및 Paul Teetor (O’Reilly)
Boris Lublinsky (O’Reilly)의 머신 러닝 모델 제공
Danilo Sato et al.의“기계 학습을위한 지속적인 제공”",,
36,"Interpretable Machine Learning by Christoph Molnar (self-published)
“A Gentle Introduction to Concept Drift in Machine Learning” by Jason Brownlee
“Model Drift and Ensuring a Healthy Machine Learning Lifecycle” by A. Besir Kurtulmus
“The Rise of the Model Servers” by Alex Vikati
“An Overview of Model Explainability in Modern Machine Learning” by Rui Aguiar
Machine Learning with Python Cookbook by Chris Albon (O’Reilly)
Machine Learning Flashcards by Chris Albon

Of course, there are many others, but those should get you started.","Christoph Molnar의 해석 가능한 기계 학습 (자체 게시)
Jason Brownlee의 ""머신 러닝의 개념 드리프트에 대한 부드러운 소개""
A. Besir Kurtulmus의 ""모델 드리프트 및 건강한 기계 학습 수명주기 보장""
Alex Vikati의“The Rise of the Model Servers”
Rui Aguiar의 ""현대 기계 학습의 모델 설명 가능성 개요""
Chris Albon (O’Reilly)의 Python Cookbook을 사용한 머신 러닝
Chris Albon의 기계 학습 플래시 카드

물론 다른 많은 것들이 있지만 시작해야합니다.",,
37,Please don’t be overwhelmed by this list—you certainly don’t need to be an expert in each of these topics to effectively deploy and manage Kubeflow.,이 목록에 압도 당하지 마십시오. Kubeflow를 효과적으로 배포하고 관리하기 위해 이러한 각 주제에 대한 전문가 일 필요는 없습니다.,,
38,"In fact, Kubeflow exists to streamline many of these tasks.","사실, Kubeflow는 이러한 많은 작업을 간소화하기 위해 존재합니다.",,
39,"However, there may be some topic into which you wish to delve deeper—and so this should be thought of as a “getting started” list.","그러나 더 깊이 탐구하고 싶은 주제가있을 수 있으므로 ""시작하기""목록으로 생각해야합니다.",,
40,"Containers and Kubernetes are a wide, rapidly evolving area of practice.",컨테이너와 Kubernetes는 광범위하고 빠르게 진화하는 실행 영역입니다.,,
41,"If you want to deepen your knowledge of Kubernetes we recommend looking at the following:

Cloud Native Infrastructure by Justin Garrison and Kris Nova (O’Reilly)
Kubernetes: Up and Running by Brendan Burns et al.","Kubernetes에 대한 지식을 심화하려면 다음을 살펴 보는 것이 좋습니다.

Justin Garrison 및 Kris Nova (O’Reilly)의 클라우드 네이티브 인프라
Kubernetes : Brendan Burns et al.",,
42,"(O’Reilly)



Your Responsibility as a Practitioner
This book helps you put your machine learning models into production to solve real-world problems.","(오라일리)



실무자로서의 책임
이 책은 기계 학습 모델을 프로덕션에 적용하여 실제 문제를 해결하는 데 도움이됩니다.",,
43,"Solving real-world problems with machine learning is great, but as you go forth and apply your skills, remember to think about the impact.",기계 학습으로 실제 문제를 해결하는 것은 좋지만 계속해서 기술을 적용 할 때 영향에 대해 생각하는 것을 잊지 마십시오.,,
44,"First, it’s important to make sure your models are sufficiently accurate, and there are great tools for this in Kubeflow, covered in SECTION 2.2.","첫째, 모델이 충분히 정확한지 확인하는 것이 중요하며, 섹션 2.2에서 다루는 Kubeflow에는이를위한 훌륭한 도구가 있습니다.",,
45,"Even the best tools will not save you from all mistakes—for example, hyperparameter tuning on the same dataset to report final cross-validation results.",최고의 도구라고하더라도 모든 실수를 방지 할 수는 없습니다. 예를 들어 동일한 데이터 세트에서 하이퍼 파라미터를 조정하여 최종 교차 검증 결과를보고합니다.,,
46,Even models with significant predictive power can have unintended effects and biases that may not show up during the regular training-evaluation phase.,상당한 예측력을 가진 모델조차도 정규 학습 평가 단계에서 나타나지 않을 수있는 의도하지 않은 효과와 편향을 가질 수 있습니다.,,
47,"Unintended biases can be hard to discover, but there are many stories (e.g., the Amazon machine learning–based recruiting engine that turned out to have intense biases and decided to hire only men) that demonstrate the profound potential implications of our work.","의도하지 않은 편견은 발견하기 어려울 수 있지만, 우리 작업의 심오한 잠재적 영향을 보여주는 많은 이야기 (예 : 강렬한 편견이있는 것으로 밝혀지고 남성 만 고용하기로 결정한 Amazon 기계 학습 기반 채용 엔진)이 있습니다.",,
48,"Failing to address these issues early on can lead to having to abandon your entire work, as demonstrated by IBM’s decision to stop its facial recognition program and similar pauses across the industry after the implications of racial bias in facial recognition in the hands of law enforcement became clear.",이러한 문제를 조기에 해결하지 못하면 얼굴 인식 프로그램을 중단하기로 한 IBM의 결정과 법 집행 기관의 얼굴 인식에 대한 인종적 편견이 영향을받은 후 업계 전반에 걸쳐 유사한 일시 중지를 통해 알 수 있듯이 전체 작업을 포기해야 할 수 있습니다.맑은.,,
49,"Even seemingly unbiased data, like raw purchase records, can turn out to have intense biases resulting in incorrect recommendations or worse.",원시 구매 기록과 같이 편향되지 않은 것처럼 보이는 데이터조차도 강렬한 편향으로 인해 잘못된 권장 사항을 초래하거나 더 나빠질 수 있습니다.,,
50,Just because a dataset is public and widely available does not mean it is unbiased.,데이터 세트가 공개되고 널리 사용 가능하다고해서 편견이없는 것은 아닙니다.,,
51,"The well-known practice of word embeddings has been shown to have many types of bias, including sexism, anti-LGBTQ, and anti-immigrant.","잘 알려진 단어 삽입 관행은 성 차별, 반 LGBTQ 및 반 이민자를 포함하여 많은 유형의 편견을 가지고있는 것으로 나타났습니다.",,
52,When looking at a new dataset it is crucial to look for examples of bias in your data and attempt to mitigate it as much as possible.,새 데이터 세트를 볼 때 데이터에서 편향의 예를 찾아 가능한 한 많이 완화하는 것이 중요합니다.,,
53,"With the most popular public datasets, various techniques are often discussed in the research, and you can use these to guide your own work.",가장 인기있는 공개 데이터 세트를 사용하여 다양한 기술이 연구에서 자주 논의되며이를 사용하여 자신의 작업을 안내 할 수 있습니다.,,
54,"While this book does not have the tools to solve bias, we encourage you to think critically about potential biases in your system and explore solutions before going into production.",이 책에는 편견을 해결할 수있는 도구가 없지만 시스템의 잠재적 편향에 대해 비판적으로 생각하고 프로덕션에 들어가기 전에 솔루션을 탐색하는 것이 좋습니다.,,
55,"If you don’t know where to start, check out Katharine Jarmul’s excellent introductory talk.",어디서부터 시작해야할지 모르겠다면 Katharine Jarmul의 훌륭한 입문 강연을 확인하세요.,,
56,IBM has a collection of tools and examples in its AI Fairness 360 open source toolkit that can be a great place to start your exploration.,IBM은 탐색을 시작하기에 좋은 장소가 될 수있는 AI Fairness 360 오픈 소스 툴킷에 도구 및 예제 모음을 보유하고 있습니다.,,
57,A critical step to reducing bias in your models is to have a diverse team to notice potential issues early.,모델의 편향을 줄이는 중요한 단계는 잠재적 인 문제를 조기에 발견 할 수있는 다양한 팀을 구성하는 것입니다.,,
58,"As Jeff Dean said: “AI is full of promise, with the potential to revolutionize so many different areas of modern society.",Jeff Dean이 말했듯이 :“AI는 현대 사회의 다양한 영역을 혁신 할 잠재력이있는 가능성으로 가득 차 있습니다.,,
59,"In order to realize its true potential, our field needs to be welcoming to all people.",진정한 잠재력을 실현하기 위해 우리 분야는 모든 사람을 환영해야합니다.,,
60,"As it stands today, it is definitely not.",오늘날과 같이 확실히 그렇지 않습니다.,,
61,"Our field has a problem with inclusiveness.”
Tip
It’s important to note that removing biases or validating accuracy in your results is not a “one and done”; model performance can degrade and biases can be introduced over time—even if you don’t personally change anything.","우리 분야는 포용성에 문제가 있습니다.”
팁
결과에서 편견을 제거하거나 정확성을 검증하는 것은 ""한 번만 완료""하는 것이 아니라는 점에 유의해야합니다.개인적으로 아무것도 변경하지 않더라도 시간이 지남에 따라 모델 성능이 저하되고 편향이 발생할 수 있습니다.",,
62,"[1]



Conventions Used in This Book
The following typographical conventions are used in this book:

Italic

Indicates new terms, URLs, email addresses, filenames, and file extensions.","[1]



이 책에 사용 된 규칙
이 책에서는 다음과 같은 표기 규칙이 사용됩니다.

이탤릭체

새로운 용어, URL, 이메일 주소, 파일 이름 및 파일 확장자를 나타냅니다.",,
63,"Constant width

Used for program listings, as well as within paragraphs to refer to program elements such as variable or function names, databases, data types, environment variables, statements, and keywords.","일정한 폭

변수 또는 함수 이름, 데이터베이스, 데이터 유형, 환경 변수, 명령문 및 키워드와 같은 프로그램 요소를 참조하기 위해 단락 내 에서뿐만 아니라 프로그램 목록에 사용됩니다.",,
64,"Constant width bold

Shows commands or other text that should be typed literally by the user.","고정 너비 굵게

사용자가 문자 그대로 입력해야하는 명령 또는 기타 텍스트를 표시합니다.",,
65,"Constant width italic

Shows text that should be replaced with user-supplied values or by values determined by context.","일정한 너비 기울임 꼴

사용자 제공 값 또는 컨텍스트에 의해 결정된 값으로 대체되어야하는 텍스트를 표시합니다.",,
66,"Tip
This element signifies a tip or suggestion.","팁
이 요소는 팁 또는 제안을 나타냅니다.",,
67,"Note
This element signifies a general note.","노트
이 요소는 일반적인 참고 사항을 나타냅니다.",,
68,"Warning
This element indicates a warning or caution.","경고
이 요소는 경고 또는주의를 나타냅니다.",,
69,We will use warnings to indicate any situations where the resulting pipeline is likely to be nonportable and call out portable alternatives that you can use.,경고를 사용하여 결과 파이프 라인이 이식 불가능할 가능성이있는 상황을 표시하고 사용할 수있는 이식 가능한 대안을 제시합니다.,,
70,"Code Examples
Supplemental material (code examples, etc.)","코드 예
보충 자료 (코드 예 등)",,
71,is available for download at https://oreil.ly/Kubeflow_for_ML.,https://oreil.ly/Kubeflow_for_ML에서 다운로드 할 수 있습니다.,,
72,"These code examples are available under an Apache 2 license, or as described in the next section.",이러한 코드 예제는 Apache 2 라이선스 또는 다음 섹션에 설명 된대로 사용할 수 있습니다.,,
73,There are additional examples under their own respective licenses that you may find useful.,유용 할 수있는 각 라이선스 아래에 추가 예제가 있습니다.,,
74,"The Kubeflow project has an example repo, which at the time of writing is available under an Apache 2 license.",Kubeflow 프로젝트에는 작성 시점에 Apache 2 라이선스로 사용할 수있는 예제 저장소가 있습니다.,,
75,Canonical also has  a set of resources that may be of special interest to MicroK8s users.,Canonical에는 MicroK8s 사용자에게 특별한 관심을 가질 수있는 리소스 세트도 있습니다.,,
76,"Using Code Examples
If you have a technical question or a problem using the code examples, please send email to bookquestions@oreilly.com.","코드 예제 사용
기술적 인 질문이나 코드 예제 사용에 문제가있는 경우 bookquestions@oreilly.com으로 이메일을 보내주십시오.",,
77,This book is here to help you get your job done.,이 책은 귀하의 업무 수행을 돕기 위해 여기에 있습니다.,,
78,"In general, if example code is offered with this book, you may use it in your programs and documentation.",일반적으로이 책에 예제 코드가 제공되는 경우 프로그램 및 문서에서 사용할 수 있습니다.,,
79,You do not need to contact us for permission unless you’re reproducing a significant portion of the code.,코드의 상당 부분을 복제하지 않는 한 Google에 연락하여 허가를받을 필요가 없습니다.,,
80,"For example, writing a program that uses several chunks of code from this book does not require permission.","예를 들어,이 책의 여러 코드를 사용하는 프로그램을 작성하는 데는 권한이 필요하지 않습니다.",,
81,Selling or distributing examples from O’Reilly books does require permission.,O’Reilly 책의 예를 판매하거나 배포하려면 허가가 필요합니다.,,
82,Answering a question by citing this book and quoting example code does not require permission.,이 책을 인용하고 예제 코드를 인용하여 질문에 답하는 것은 허가가 필요하지 않습니다.,,
83,"Incorporating a significant amount of example code from this book into your product’s documentation does require 
permission.","이 책의 상당량의 예제 코드를 제품 설명서에 통합하려면
허가.",,
84,Additional details on license can be found in the repos.,라이센스에 대한 추가 세부 사항은 저장소에서 찾을 수 있습니다.,,
85,"We appreciate, but generally do not require, attribution.",일반적으로 귀속을 요구하지는 않지만 감사합니다.,,
86,"An attribution usually includes the title, author, publisher, and ISBN.","일반적으로 저작자 표시에는 제목, 저자, 발행자 및 ISBN이 포함됩니다.",,
87,"For example: “Kubeflow for Machine Learning by Holden Karau, Trevor Grant, Boris Lublinsky, Richard Liu, and Ilan Filonenko (O’Reilly).","예 :“Holden Karau, Trevor Grant, Boris Lublinsky, Richard Liu, Ilan Filonenko (O’Reilly)의 기계 학습용 Kubeflow.",,
88,"Copyright 2021 Holden Karau, Trevor Grant, Boris Lublinsky, Richard Liu, and Ilan Filonenko, 978-1-492-05012-4.”
If you feel your use of code examples falls outside fair use or the permission given above, feel free to contact us at permissions@oreilly.com.","Copyright 2021 Holden Karau, Trevor Grant, Boris Lublinsky, Richard Liu, Ilan Filonenko, 978-1-492-05012-4.”
코드 예제 사용이 공정 사용 또는 위에 제공된 권한을 벗어난다고 생각되면 permissions@oreilly.com으로 언제든지 문의하십시오.",,
89,"O’Reilly Online Learning
Note
For more than 40 years, O’Reilly Media has provided technology and business training, knowledge, and insight to help companies succeed.","O’Reilly 온라인 학습
노트
O’Reilly Media는 40 년 이상 기업의 성공에 도움이되는 기술 및 비즈니스 교육, 지식 및 통찰력을 제공해 왔습니다.",,
90,"Our unique network of experts and innovators share their knowledge and expertise through books, articles, and our online learning platform.","당사의 고유 한 전문가 및 혁신가 네트워크는 책, 기사 및 온라인 학습 플랫폼을 통해 지식과 전문성을 공유합니다.",,
91,"O’Reilly’s online learning platform gives you on-demand access to live training courses, in-depth learning paths, interactive coding environments, and a vast collection of text and video from O’Reilly and 200+ other publishers.","O'Reilly의 온라인 학습 플랫폼은 실시간 교육 과정, 심층 학습 경로, 대화 형 코딩 환경, O'Reilly 및 200 개 이상의 다른 게시자가 제공하는 방대한 텍스트 및 비디오 컬렉션에 대한 주문형 액세스를 제공합니다.",,
92,"For more information, visit http://oreilly.com.",자세한 내용은 http://oreilly.com을 참조하십시오.,,
93,"How to Contact the Authors
For feedback, email us at intro-to-ml-kubeflow@googlegroups.com.","저자에게 연락하는 방법
의견이 필요하면 intro-to-ml-kubeflow@googlegroups.com으로 이메일을 보내주세요.",,
94,"For random ramblings, occasionally about Kubeflow, follow us online:

Trevor



Twitter


Blog


GitHub


Myspace



Holden



Twitter


YouTube


Twitch


LinkedIn


Blog


GitHub


Facebook



Boris



LinkedIn


GitHub



Richard



GitHub





Ilan



LinkedIn


GitHub






How to Contact Us
Please address comments and questions concerning this book to the publisher:

O’Reilly Media, Inc.
1005 Gravenstein Highway North
Sebastopol, CA 95472
800-998-9938 (in the United States or Canada)
707-829-0515 (international or local)
707-829-0104 (fax)

You can access the web page for this book, where we list errata, examples, and any additional information, at https://oreil.ly/Kubeflow_for_Machine_Learning.","가끔씩 Kubeflow에 대해 무작위로 떠돌이는 경우 온라인으로 팔로우하세요.

트레버



트위터


블로그


GitHub


내 공간



홀든



트위터


유튜브


경련


LinkedIn


블로그


GitHub


페이스 북



보리스



LinkedIn


GitHub



Richard



GitHub





일란



LinkedIn


GitHub






연락 방법
이 책에 대한 의견과 질문을 발행인에게 알려주십시오.

O’Reilly Media, Inc.
1005 Gravenstein 고속도로 북쪽
세 바스 토폴, CA 95472
800-998-9938 (미국 또는 캐나다)
707-829-0515 (국제 또는 지역)
707-829-0104 (팩스)

https://oreil.ly/Kubeflow_for_Machine_Learning에서 정오표, 예제 및 추가 정보를 나열하는이 책의 웹 페이지에 액세스 할 수 있습니다.",,
95,Email bookquestions@oreilly.com to comment or ask technical questions about this book.,이 책에 대한 의견을 말하거나 기술적 인 질문을하려면 bookquestions@oreilly.com으로 이메일을 보내십시오.,,
96,"For news and information about our books and courses, visit http://oreilly.com.",책과 과정에 대한 뉴스와 정보를 보려면 http://oreilly.com을 방문하십시오.,,
97,"Find us on Facebook: http://facebook.com/oreilly
Follow us on Twitter: http://twitter.com/oreillymedia
Watch us on YouTube: http://www.youtube.com/oreillymedia


Acknowledgments
The authors would like to thank everyone at O’Reilly Media, especially our editors Amelia Blevins and Deborah Baker, as well as the Kubeflow community for making this book possible.","Facebook에서 찾기 : http://facebook.com/oreilly
Twitter에서 팔로우하세요 : http://twitter.com/oreillymedia
YouTube에서보기 : http://www.youtube.com/oreillymedia


감사의 말
저자는 O’Reilly Media의 모든 사람, 특히 편집자 인 Amelia Blevins와 Deborah Baker, 그리고이 책을 가능하게 해준 Kubeflow 커뮤니티에 감사드립니다.",,
98,"Clive Cox and Alejandro Saucedo from Seldon made amazing contributions to CHAPTER 8, without which this book would be missing key parts.",Seldon의 Clive Cox와 Alejandro Saucedo는 CHAPTER 8에 놀라운 공헌을했습니다.,,
99,We’d like to thank Google Cloud Platform for resources that allowed us to ensure examples worked on GCP.,예제가 GCP에서 작동하는지 확인할 수있는 리소스에 대해 Google Cloud Platform에 감사드립니다.,,
100,"Perhaps most importantly, we’d like to thank our reviewers, without whom this book would not exist in its current form.",아마도 가장 중요한 것은이 책이 현재의 형태로 존재하지 않을 리뷰어들에게 감사를 표하는 것입니다.,,
101,"This includes Taka Shinagawa, Pete MacKinnon, Kevin Haas, Chris Albon, Hannes Hapke, and more.","여기에는 Taka Shinagawa, Pete MacKinnon, Kevin Haas, Chris Albon, Hannes Hapke 등이 포함됩니다.",,
102,"To all early readers and reviewers of books, thank you for your contributions.",책의 초기 독자와 평론가 모두에게 기여해 주셔서 감사합니다.,,
